listing_id,seller_id,category,subcategory,brand,listing_created_date,price,discount_pct,image_count,has_video,title_length_chars,description_length_chars,specifications_filled_pct,has_size_chart,has_dimensions_listed,variant_count,item_weight_kg
L000001,S00234,Fashion,T-Shirts,Mid Brand,2025-11-14,166.09,0.277,1,False,78,248.0,0.469,False,False,5,0.91
L000002,S00386,Home,Furniture,Generic,2024-03-09,136.98,0.08,2,False,53,246.0,0.45,False,True,3,3.2
L000003,S00037,Beauty,Skincare,Generic,2025-10-01,96.8,0.18,3,False,70,582.0,0.449,False,True,7,0.23
L000004,S00353,Electronics,Laptops,Private Label,2024-09-23,754.58,0.084,4,False,97,207.0,0.262,False,False,4,1.0
L000005,S00243,Home,Storage,Premium Brand,2025-08-20,212.63,0.635,5,False,44,708.0,0.587,False,False,4,14.86
L000006,S00412,Fashion,Sneakers,Generic,2025-12-08,93.51,0.441,5,True,50,224.0,0.586,False,False,9,1.08
L000007,S00146,Fashion,Watches,Imported Brand,2023-04-01,55.24,0.019,5,False,59,1043.0,,True,,3,0.57
L000008,S00050,Home,Storage,Imported Brand,2024-04-08,227.77,0.122,3,False,56,454.0,0.4,False,,4,11.14
L000009,S00278,Home,Bedding,Generic,2023-11-05,587.91,0.335,4,False,72,2151.0,0.763,False,True,7,2.53
L000010,S00139,Home,Storage,Generic,2023-07-23,129.44,0.111,12,False,94,894.0,0.998,True,True,2,4.41
L000011,S00317,Home,Bedding,Private Label,2024-11-12,238.41,0.098,8,False,47,232.0,0.538,False,True,2,12.6
L000012,S00087,Beauty,Skincare,Premium Brand,2024-07-12,80.69,0.355,7,False,53,241.0,0.497,False,False,2,0.48
L000013,S00429,Electronics,Laptops,Generic,2025-12-26,193.47,0.086,9,False,93,627.0,0.718,False,False,5,6.44
L000014,S00407,Electronics,Small Appliances,Generic,2024-09-20,2103.32,0.351,4,True,48,277.0,0.731,False,False,3,0.28
L000015,S00444,Fashion,Abayas,,2023-02-27,206.78,0.051,5,False,79,,0.721,True,False,10,0.48
L000016,S00167,Electronics,Small Appliances,Generic,2024-10-08,480.59,0.08,5,False,41,852.0,0.405,,False,4,0.85
L000017,S00181,Home,Furniture,Mid Brand,2023-11-15,233.24,0.17,11,False,81,247.0,0.555,False,False,3,9.72
L000018,S00313,Electronics,Laptops,Mid Brand,2025-05-19,521.53,0.143,3,False,39,978.0,0.549,False,False,2,2.84
L000019,S00003,Beauty,Fragrance,Mid Brand,2023-03-08,45.97,0.508,4,False,45,802.0,0.394,False,False,1,0.27
L000020,S00253,Beauty,Fragrance,Private Label,2023-02-12,77.49,0.021,1,True,80,746.0,0.618,False,True,4,0.22
L000021,S00410,Fashion,Jeans,Mid Brand,2023-08-25,20.08,0.08,5,True,47,513.0,0.231,True,False,6,1.08
L000022,S00129,Electronics,Small Appliances,Generic,2025-10-02,531.05,0.355,6,False,62,902.0,0.622,False,False,2,0.53
L000023,S00387,Fashion,T-Shirts,Private Label,2026-04-12,78.31,0.005,3,True,58,472.0,0.258,False,False,3,0.58
L000024,S00254,Beauty,Haircare,,2023-01-20,73.83,0.067,4,False,60,1201.0,0.883,False,False,2,0.2
L000025,S00341,Sports,Shoes,Mid Brand,2025-04-20,151.62,0.247,6,False,93,1008.0,0.521,False,False,1,3.17
L000026,S00367,Electronics,Laptops,Premium Brand,2023-06-09,519.99,0.286,1,True,39,736.0,0.471,,False,5,0.2
L000027,S00269,Fashion,Watches,Generic,2024-11-24,160.52,0.203,3,False,0,501.0,0.592,True,False,6,
L000028,S00216,Home,Furniture,Generic,2025-04-05,348.1,0.095,1,False,67,353.0,0.497,False,False,3,6.03
L000029,S00149,Fashion,Jeans,Imported Brand,2025-03-13,96.95,0.256,8,False,60,456.0,0.548,True,False,7,0.52
L000030,S00357,Beauty,Makeup,Generic,2023-06-10,116.71,0.107,9,False,51,1410.0,0.729,False,False,1,0.52
L000031,S00186,Home,Bedding,Imported Brand,2025-08-18,105.11,0.111,7,False,77,795.0,0.642,False,True,4,8.74
L000032,S00057,Fashion,T-Shirts,Private Label,2024-02-28,72.02,0.105,9,False,98,608.0,0.776,False,True,8,0.33
L000033,S00443, Electronics ,Laptops,Private Label,2024-04-10,482.46,0.189,2,True,39,381.0,0.908,False,True,9,0.82
L000034,S00111,Electronics,Headphones,Imported Brand,2025-01-31,569.21,0.018,3,True,86,791.0,0.502,False,False,3,3.59
L000035,S00235, Electronics ,Cameras,Premium Brand,2023-02-19,369.5,0.056,12,True,34,902.0,0.786,False,,3,0.86
L000036,S00001,Electronics,Laptops,Imported Brand,2025-03-19,501.06,0.425,6,False,43,821.0,0.612,False,True,2,0.86
L000037,S00224,Electronics,Headphones,Private Label,2023-09-17,760.54,0.42,6,False,68,431.0,0.662,True,False,6,0.81
L000038,S00206,Electronics,Small Appliances,Private Label,2025-08-13,550.02,0.355,3,True,77,988.0,0.575,False,False,5,1.34
L000039,S00234,Home,Kitchen,Mid Brand,2025-10-09,86.9,0.189,3,False,25,184.0,0.297,False,True,1,3.27
L000040,S00058,Fashion,Watches,Mid Brand,2023-02-27,46.05,0.356,4,False,63,489.0,0.432,False,True,7,0.59
L000041,S00377,Fashion,Dresses,Generic,2026-01-10,113.02,0.194,4,False,71,393.0,0.406,True,False,9,0.26
L000042,S00365,Home,Furniture,Premium Brand,2025-05-13,156.75,0.03,6,False,48,936.0,0.555,False,,12,9.3
L000043,S00449,Home,Kitchen,Mid Brand,2023-07-26,318.18,0.287,7,False,84,471.0,0.363,False,False,4,13.36
L000044,S00065,Electronics,Headphones,Private Label,2023-10-01,1863.64,0.256,4,False,71,,0.599,False,True,4,1.33
L000045,S00259,Fashion,Dresses,Generic,2023-01-16,104.2,0.027,12,False,45,,0.853,True,True,16,0.58
L000046,S00057,Sports,Shoes,Mid Brand,2026-02-01,86.53,0.125,8,False,43,977.0,0.715,False,False,3,2.9
L000047,S00403,Electronics,Cameras,Private Label,2025-04-25,656.18,0.256,3,False,56,775.0,0.524,False,True,3,2.5
L000048,S00202,Electronics,Laptops,Premium Brand,2023-08-18,465.63,0.411,4,True,77,490.0,0.622,False,True,2,
L000049,S00158,Electronics,Laptops,Premium Brand,2023-10-22,236.01,0.214,2,False,42,489.0,0.733,False,False,4,7.96
L000050,S00132,Electronics,Cameras,Generic,2023-05-18,228.55,0.19,8,True,93,1031.0,0.654,,False,5,1.43
L000051,S00434,Electronics,Laptops,Generic,2023-10-21,992.53,0.075,6,False,37,431.0,0.468,False,False,4,0.69
L000052,S00395,Sports,Shoes,Private Label,2026-04-12,147.72,0.026,2,False,59,1059.0,0.584,False,False,4,2.95
L000053,S00089,Sports,Outdoor,,2024-09-14,85.78,0.248,4,False,83,1542.0,0.516,False,True,5,1.01
L000054,S00080,Sports,Shoes,Generic,2025-01-30,305.17,0.072,6,False,71,1473.0,0.563,False,False,8,2.93
L000055,S00203,Fashion,Sneakers,Generic,2025-01-11,99.25,0.125,2,False,29,421.0,0.608,True,True,3,0.57
L000056,S00270,Fashion,Dresses,Mid Brand,2024-09-06,89.17,0.029,3,False,62,407.0,0.596,False,False,2,0.84
L000057,S00406,Fashion,Abayas,Imported Brand,2025-08-23,186.84,0.372,6,False,48,481.0,0.474,True,False,5,1.07
L000058,S00404, Fashion ,T-Shirts,Private Label,2023-07-18,125.8,0.02,9,True,76,424.0,0.645,False,False,9,0.58
L000059,S00143,Electronics,Small Appliances,Generic,2024-09-16,1048.07,0.175,4,True,17,360.0,0.825,False,False,4,1.22
L000060,S00068,Beauty,Haircare,Mid Brand,2023-03-10,30.14,0.159,3,True,49,487.0,0.561,False,,5,0.42
L000061,S00193,Fashion,Watches,Mid Brand,2024-06-21,122.48,0.492,8,False,95,274.0,0.676,True,False,6,1.11
L000062,S00318,Beauty,Haircare,Generic,2025-07-25,114.93,0.105,4,False,94,709.0,0.692,False,,4,0.3
L000063,S00070,Home,Storage,Generic,2025-03-16,194.84,0.091,6,False,37,1063.0,,False,True,3,7.05
L000064,S00113,Fashion,Watches,Generic,2024-12-06,103.91,0.543,4,False,50,,0.267,True,False,16,1.03
L000065,S00397,Sports,Equipment,Imported Brand,2026-05-03,152.07,0.051,1,False,41,395.0,0.14,,True,1,0.78
L000066,S00111,Electronics,Cameras,Private Label,2026-04-01,577.91,0.007,9,False,62,382.0,0.664,False,False,2,0.22
L000067,S00446,Home,Storage,Generic,2026-04-25,308.85,0.089,4,False,61,1035.0,0.896,False,True,3,11.17
