seller_id,seller_name,seller_tier,fulfillment_type,seller_country,join_date
S00001,Gulf Commerce 0,T1,marketplace_fulfilled,local,2023-04-23
S00002,Sahara Mart 1,T3,marketplace_fulfilled,local,2025-01-16
S00003,Falcon Trading 2,T2,seller_fulfilled,local,2021-12-12
S00004,Prime Trading 3,T1,marketplace_fulfilled,cross_border,2022-09-05
S00005,Falcon General 4,T2,seller_fulfilled,local,2023-04-15
S00006,Nova Mart 5,T3,seller_fulfilled,local,2021-06-28
S00007,Gulf Stores 6,T1,marketplace_fulfilled,cross_border,2024-02-11
S00008,Nova General 7,T3,seller_fulfilled,cross_border,2023-03-16
S00009,Desert Trading 8,T3,marketplace_fulfilled,LOCAL,2024-05-27
S00010,Gulf Retail 9,T3,marketplace_fulfilled,cross_border,2024-02-09
S00011,Gulf Mart 10,T2,seller_fulfilled,local,2021-03-16
S00012,Falcon Stores 11,T2,marketplace_fulfilled,cross_border,2022-11-17
S00013,Emirates Trading 12,T3,marketplace_fulfilled,local,14/11/2021
S00014,Desert Mart 13,T3,seller_fulfilled,cross border,2025-02-22
S00015,Sahara Retail 14,T3,marketplace_fulfilled,local,2023-07-26
S00016,Prime Retail 15,T2,seller_fulfilled,local,2022-07-14
S00017,Falcon General 16,T3,seller_fulfilled,local,2021-06-12
S00018,Nova Commerce 17,T2,marketplace_fulfilled,local,2021-07-06
S00019,Falcon Stores 18,T3,seller_fulfilled,cross_border,2021-09-27
S00020,Pearl Retail 19,T2, seller_fulfilled ,local,2021-12-20
S00021,Desert Trading 20,T2,seller_fulfilled,cross border,2024-02-15
S00022,Falcon Commerce 21,T2,marketplace_fulfilled,local,2025-09-30
S00023,Desert General 22,T3,seller_fulfilled,local,2021-05-27
S00024,Pearl Commerce 23,T3,seller_fulfilled,local,2021-07-12
S00025,Pearl Retail 24,T1,seller_fulfilled,cross_border,2021-12-04
S00026,Sahara Stores 25,T2,seller_fulfilled,local,2025-02-01
S00027,Desert Mart 26,T3,marketplace_fulfilled,cross_border,2021-10-16
S00028,Prime Commerce 27,T1,marketplace_fulfilled,local,2025-05-22
S00029,Gulf Retail 28,T2,seller_fulfilled,local,2025-11-05
S00030,Gulf Stores 29,T3,seller_fulfilled,local,2024-09-04
S00031,Gulf Commerce 30,T3, seller_fulfilled ,cross_border,2022-07-26
S00032,Gulf Retail 31,T2,seller_fulfilled,local,2021-10-25
S00033,Pearl General 32,T3,seller_fulfilled,local,2023-09-18
S00034,Gulf Stores 33,T2,seller_fulfilled,local,2021-08-24
S00035,Nova Stores 34,,marketplace_fulfilled,local,2022-12-14
S00036,Prime Retail 35,T3,marketplace fulfilled,cross_border,2022-05-14
