return_id,order_line_id,return_initiated_date_key,return_received_date_key,reported_reason_code,item_condition_on_receipt,quantity_returned,refund_amount,refund_method
R00000001,OL000000002,20250509,20250517,R002,resellable,1,70.05,original_payment
R00000002,OL000000003,20250328,20250331,R003,resellable,2,153.46,original_payment
R00000003,OL000000006,20260629,20260701,R003,refurbishable,1,379.56,wallet_credit
R00000004,OL000000008,20250121,20250124,R001,resellable,1,119.21,manual_refund
R00000005,OL000000009,20260617,20260623,R005,write_off,1,155.66,wallet_credit
R00000006,OL000000011,20250211,20250213,R002,resellable,1,118.51,original_payment
R00000007,OL000000013,20251208,20251215,R006,resellable,1,73.32,original_payment
R00000008,OL000000014,20250125,20250201,R001,resellable,1,153.56,original_payment
R00000009,OL000000017,20250626,20250629,R002,refurbishable,2,101.58,original_payment
R00000010,OL000000018,20251013,20251019,R002,resellable,1,149.9,original_payment
R00000011,OL000000021,20260509,20260518,R001,write_off,1,242.25,original_payment
R00000012,OL000000025,20250129,20250202,R005,resellable,1,50.95,original_payment
R00000013,OL000000026,20250911,20250915,R002,refurbishable,1,82.04,original_payment
R00000014,OL000000027,20260404,20260412,R002,resellable,1,337.57,original_payment
R00000015,OL000000034,20260401,20260407,R001,resellable,3,121.71,manual_refund
R00000016,OL000000038,20250330,20250405,R006,resellable,1,102.54,original_payment
R00000017,OL000000041,20250806,20250815,R004,resellable,1,536.11,original_payment
R00000018,OL000000044,20250126,20250131,R002,refurbishable,1,93.48,original_payment
R00000019,OL000000045,20260207,20260211,R003,resellable,2,145.6,original_payment
R00000020,OL000000050,20250930,20251004,R005,write_off,1,104.4,original_payment
R00000021,OL000000052,20250329,20250404,R003,resellable,1,169.93,original_payment
R00000022,OL000000056,20250930,20251005,R003,resellable,1,283.2,original_payment
R00000023,OL000000058,20260305,20260313,R001,resellable,1,68.49,original_payment
R00000024,OL000000060,20260125,20260202,R001,write_off,1,222.3,wallet_credit
R00000025,OL000000066,20260704,20260712,R005,refurbishable,1,61.62,original_payment
R00000026,OL000000068,20250902,20250904,R002,resellable,1,47.65,original_payment
R00000027,OL000000071,20250325,20250327,R005,write_off,1,146.04,original_payment
R00000028,OL000000074,20260707,20260714,R003,resellable,1,121.98,wallet_credit
R00000029,OL000000076,20250228,20250304,R006,resellable,1,468.34,original_payment
R00000030,OL000000078,20260608,20260611,R003,resellable,1,116.56,original_payment
R00000031,OL000000080,20250326,20250401,R004,resellable,1,325.64,original_payment
R00000032,OL000000084,20260226,20260303,R002,resellable,1,102.97,wallet_credit
R00000033,OL000000086,20250610,20250616,R003,refurbishable,1,630.27,original_payment
R00000034,OL000000087,20251204,20251212,R006,resellable,1,90.06,original_payment
R00000035,OL000000090,20250917,20250919,R003,resellable,1,161.51,manual_refund
